Full Name,Gender,Date of Birth,Parliament Name,D I P S,E O P T
FirstNameSA2019_35 LastNameSA2019_35,Male,17.07.81,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_36 LastNameSA2019_36,Female,13.07.64,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_37 LastNameSA2019_37,Male,28.12.58,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_38 LastNameSA2019_38,Female,31.08.49,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_39 LastNameSA2019_39,Male,28.06.66,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_40 LastNameSA2019_40,Female,23.01.64,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_41 LastNameSA2019_41,Male,16.12.72,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_42 LastNameSA2019_42,Male,22.07.63,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_43 LastNameSA2019_43,Female,30.06.67,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_44 LastNameSA2019_44,Female,01.04.76,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_45 LastNameSA2019_45,Female,29.01.65,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_46 LastNameSA2019_46,Male,02.05.68,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_47 LastNameSA2019_47,Female,02.08.67,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_48 LastNameSA2019_48,Male,14.10.68,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_49 LastNameSA2019_49,Female,10.06.81,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_50 LastNameSA2019_50,Female,25.01.62,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_51 LastNameSA2019_51,Male,29.06.76,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_52 LastNameSA2019_52,Female,26.10.82,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_53 LastNameSA2019_53,Male,15.02.68,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_54 LastNameSA2019_54,Female,18.12.59,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_55 LastNameSA2019_55,Male,06.10.79,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_56 LastNameSA2019_56,Female,20.06.65,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_57 LastNameSA2019_57,Female,25.02.74,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_58 LastNameSA2019_58,Female,25.07.58,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_59 LastNameSA2019_59,Female,27.09.70,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_60 LastNameSA2019_60,Male,18.01.73,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_61 LastNameSA2019_61,Male,07.09.61,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_62 LastNameSA2019_62,Female,19.03.74,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_63 LastNameSA2019_63,Male,04.09.63,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_64 LastNameSA2019_64,Male,13.11.74,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_65 LastNameSA2019_65,Male,09.07.69,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_66 LastNameSA2019_66,Female,24.04.77,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_67 LastNameSA2019_67,Male,31.01.81,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_68 LastNameSA2019_68,Male,26.09.72,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_69 LastNameSA2019_69,Male,24.10.90,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_70 LastNameSA2019_70,Male,03.01.75,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_71 LastNameSA2019_71,Male,14.12.67,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_72 LastNameSA2019_72,Male,24.02.85,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_73 LastNameSA2019_73,Male,02.02.80,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_74 LastNameSA2019_74,Male,15.07.62,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_75 LastNameSA2019_75,Male,07.08.80,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_76 LastNameSA2019_76,Male,09.08.69,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_77 LastNameSA2019_77,Male,11.02.85,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_78 LastNameSA2019_78,Male,20.12.69,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_79 LastNameSA2019_79,Male,20.08.82,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_80 LastNameSA2019_80,Male,18.05.68,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_81 LastNameSA2019_81,Female,08.05.67,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_82 LastNameSA2019_82,Male,24.08.52,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_83 LastNameSA2019_83,Female,30.12.64,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_84 LastNameSA2019_84,Male,15.08.38,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_85 LastNameSA2019_85,Female,14.12.71,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_86 LastNameSA2019_86,Male,07.12.56,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_87 LastNameSA2019_87,Male,31.01.72,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_88 LastNameSA2019_88,Female,25.07.72,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_89 LastNameSA2019_89,Male,19.06.56,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_90 LastNameSA2019_90,Male,19.04.70,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_91 LastNameSA2019_91,Female,05.06.87,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_92 LastNameSA2019_92,Male,12.01.69,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_93 LastNameSA2019_93,Male,12.07.78,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_94 LastNameSA2019_94,Male,23.05.66,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_95 LastNameSA2019_95,Male,22.03.62,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_96 LastNameSA2019_96,Male,01.01.69,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_97 LastNameSA2019_97,Female,23.08.81,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_98 LastNameSA2019_98,Female,07.04.65,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_99 LastNameSA2019_99,Female,24.03.53,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_100 LastNameSA2019_100,Male,29.08.54,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_101 LastNameSA2019_101,Male,06.11.54,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_102 LastNameSA2019_102,Male,16.12.61,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_103 LastNameSA2019_103,Male,28.12.76,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_104 LastNameSA2019_104,Male,27.04.82,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_105 LastNameSA2019_105,Male,18.05.74,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_106 LastNameSA2019_106,Female,31.07.85,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_107 LastNameSA2019_107,Male,31.05.56,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_108 LastNameSA2019_108,Male,18.01.63,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_109 LastNameSA2019_109,Male,12.02.71,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_110 LastNameSA2019_110,Female,13.08.74,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_111 LastNameSA2019_111,Female,05.07.92,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_112 LastNameSA2019_112,Male,20.03.73,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_113 LastNameSA2019_113,Male,05.08.61,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_114 LastNameSA2019_114,Female,02.11.73,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_115 LastNameSA2019_115,Male,08.03.80,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_116 LastNameSA2019_116,Male,30.01.75,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_117 LastNameSA2019_117,Male,02.09.85,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_118 LastNameSA2019_118,Male,10.02.65,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_119 LastNameSA2019_119,Male,28.02.79,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_120 LastNameSA2019_120,Male,11.03.74,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_121 LastNameSA2019_121,Male,25.06.74,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_122 LastNameSA2019_122,Male,08.06.75,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_123 LastNameSA2019_123,Male,21.08.65,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_124 LastNameSA2019_124,Female,29.01.81,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_125 LastNameSA2019_125,Female,12.09.73,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_126 LastNameSA2019_126,Male,17.08.78,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_127 LastNameSA2019_127,Female,22.03.58,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_128 LastNameSA2019_128,Female,25.12.66,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_129 LastNameSA2019_129,Male,17.07.69,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_130 LastNameSA2019_130,Male,07.10.80,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_131 LastNameSA2019_131,Female,04.10.75,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_132 LastNameSA2019_132,Male,24.09.61,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_133 LastNameSA2019_133,Female,20.01.57,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_134 LastNameSA2019_134,Female,16.06.79,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_135 LastNameSA2019_135,Female,01.09.57,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_136 LastNameSA2019_136,Female,25.04.81,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_137 LastNameSA2019_137,Female,20.10.67,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_138 LastNameSA2019_138,Male,24.06.52,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_139 LastNameSA2019_139,Female,12.12.68,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_140 LastNameSA2019_140,Male,17.06.83,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_141 LastNameSA2019_141,Male,17.12.67,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_142 LastNameSA2019_142,Male,27.05.49,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_143 LastNameSA2019_143,Female,20.04.65,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_144 LastNameSA2019_144,Male,04.09.78,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_145 LastNameSA2019_145,Female,30.10.60,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_146 LastNameSA2019_146,Female,22.07.87,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_147 LastNameSA2019_147,Female,02.04.80,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_148 LastNameSA2019_148,Male,13.01.74,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_149 LastNameSA2019_149,Female,10.04.79,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_150 LastNameSA2019_150,Male,17.12.49,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_151 LastNameSA2019_151,Male,02.02.75,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_152 LastNameSA2019_152,Male,23.11.68,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_153 LastNameSA2019_153,Female,01.04.90,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_154 LastNameSA2019_154,Female,25.07.69,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_155 LastNameSA2019_155,Female,07.12.55,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_156 LastNameSA2019_156,Female,30.07.66,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_157 LastNameSA2019_157,Female,12.05.69,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_158 LastNameSA2019_158,Female,24.02.64,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_159 LastNameSA2019_159,Male,10.08.63,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_160 LastNameSA2019_160,Female,17.04.66,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_161 LastNameSA2019_161,Female,09.02.47,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_162 LastNameSA2019_162,Female,09.06.64,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_163 LastNameSA2019_163,Male,01.05.76,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_164 LastNameSA2019_164,Female,25.09.58,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_165 LastNameSA2019_165,Female,12.07.52,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_166 LastNameSA2019_166,Male,06.02.62,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_167 LastNameSA2019_167,Female,08.12.73,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_168 LastNameSA2019_168,Male,15.05.74,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_169 LastNameSA2019_169,Male,10.03.65,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_170 LastNameSA2019_170,Male,25.07.75,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_171 LastNameSA2019_171,Male,24.12.70,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_172 LastNameSA2019_172,Female,25.11.79,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_173 LastNameSA2019_173,Female,26.09.73,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_174 LastNameSA2019_174,Male,24.06.68,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_175 LastNameSA2019_175,Male,17.09.67,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_176 LastNameSA2019_176,Female,25.01.60,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_177 LastNameSA2019_177,Male,29.12.69,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
FirstNameSA2019_178 LastNameSA2019_178,Male,16.08.66,National Assembly of South Africa,22.05.19 00:00,22.05.24 00:00
